Name,Gender,Period,Political Party,Position,Early Life,Education,Political Career,Family 
Tilak Marapana,Male,15 August 2017 - 22 November 2019,United National Party,Minister of Foreign Affairs,"b""Marapana hails from Ratnapura, Sabaragamuwa, he is the second son of former District Judge P. Marapana and has one brother Gamini Marapana, PC. He is an alumnus of S. Thomas' College, Mount Lavinia. He has a degree in chemistry and maths as well as a law degree.""",b'',"b'In 2000 he was appointed as a Member of Parliament from the national list by the UNP. In 2001 he was made Minister of Defence. In 2002 he was made Minister of Transport, Highways, and Aviation in addition to the portfolio of Minister of Defence. In 2015, he was reappointed as Member of Parliament from the national list and was appointed as Cabinet Minister of Law and Order, Prison Reforms in September 2015. He resigned from the post in November 2015 after a speech he made in Parliament regarding the Legal position of the Avant Garde controversy. In May 2017, following a cabinet reshuffle he was appointed Minister of Development Assignments. He was also appointed for the post of Minister of Foreign Affairs on August 15, 2017 after resignation of Ravi Karunanayake.'","b'Marapana is married to Stella, they have two sons, Janaka and Chamith both practicing lawyers.'"
Dinesh Gunawardena,Male,24 November 2019 - Present,Mahajana Eksath Peramuna,Minister of Foreign Affairs,"b'Gunawardena was born 2 March 1949. He is the son of Philip Gunawardena and Kusumasiri nee Amarasinghe. He was educated at Royal Primary School, Colombo and Royal College, Colombo. After school he studied at the Netherlands School of Business (Nyenrode Business University), graduating with a diploma in business management. He then joined the University of Oregon, graduating with a B.B.A. degree in international business. Whilst in the USA he became involved in student activism, taking part in Anti-Vietnam War protests.'",b'',b'',b''
Alexander Francis Molamure,Male,7 July 1931 – 10 December 1934,Non-partisan,Speaker of the Parliament,"b""Born in Ratnapura on 2 July 1888, he was educated at S. Thomas' College, Mount Lavinia where he played cricket for his school team, captaining the college team at the RoyalThomian in 1903.""",b'',"b'Molamure was member of the local board for health and improvement in Kegalle, he contested the 1924 legislative council election and was elected to the Legislative Council of Ceylon from the Kegalle District. In the legislative council he was a member of the committee on higher education that was appointed by the Governor which recommended the formation of the University of Ceylon.\n In 1927, he chaired the 9th AGM of the All Ceylon Buddhist Association Congress. In 1931, he was re-elected to the First State Council from the Dedigama electorate. The State Council was ceremonially opened on 10 July 1931, and Molamure was elected as the speaker three days earlier on 7 July having defeated Sir Stewart Schneider by 35 to 18 votes.'","b'Molamure married Adeline Meedeniya in 1912, who became the first female member of the State Council in 1931. She was the daughter of J. H. Meedeniya Adigar, member of the Legislative Council. His brother-in-law was press baron D. R. Wijewardena.'"
Forester Augustus Obeysekera,Male,11 December 1934 – 7 December 1935,Non-partisan,Speaker of the Parliament,b'',b'',b'',b''
Waithilingam Duraiswamy,Male,17 March 1936 – 4 July 1947,Non-partisan,Speaker of the Parliament,"b'Duraiswamy was born on 8 June 1874 in Velanaitivu, an island in the north of Ceylon. He was the son of Ayampillai Waithilingam, an engineer from Malaya. He was educated at Jaffna College and Jaffna Central College. After school he joined University of Calcutta, from where he graduated with a double honours degree. He then qualified as an advocate from the Ceylon Law College.'",b'',b'',b''
Alexander Francis Molamure,Male,14 October 1947 – 25 January 1951,United National Party,Speaker of the Parliament,"b""Born in Ratnapura on 2 July 1888, he was educated at S. Thomas' College, Mount Lavinia where he played cricket for his school team, captaining the college team at the RoyalThomian in 1903.""",b'',"b'Molamure was member of the local board for health and improvement in Kegalle, he contested the 1924 legislative council election and was elected to the Legislative Council of Ceylon from the Kegalle District. In the legislative council he was a member of the committee on higher education that was appointed by the Governor which recommended the formation of the University of Ceylon.\n In 1927, he chaired the 9th AGM of the All Ceylon Buddhist Association Congress. In 1931, he was re-elected to the First State Council from the Dedigama electorate. The State Council was ceremonially opened on 10 July 1931, and Molamure was elected as the speaker three days earlier on 7 July having defeated Sir Stewart Schneider by 35 to 18 votes.'","b'Molamure married Adeline Meedeniya in 1912, who became the first female member of the State Council in 1931. She was the daughter of J. H. Meedeniya Adigar, member of the Legislative Council. His brother-in-law was press baron D. R. Wijewardena.'"
Albert Peries,Male,13 February 1951 – 18 February 1956,United National Party,Speaker of the Parliament,b'',b'',b'',b''
Hameed Hussain Sheikh Ismail,Male,19 April 1956 – 5 December 1959,Independent,Speaker of the Parliament,"b""Born in Puttalam to a middle-class family, started his Quranic lessons in 1905. He was educated at St. Andrew's College, Puttalam and at Wesley College, Colombo. He entered the Ceylon Law College, and passed the Proctor's Finals exams in 1925 winning several prizes.""",b'',"b'Entering local politics, Ismail was elected member of the Puttalam Local Board in 1929 and member of the Puttalam Urban Council in 1933 and served as Chairmen of the Puttalam Urban Council from 1936 to 1947. He was elected un-contested in the 1947 general election from the Puttalam electorate as an independent candidate to the Parliament of Ceylon. Soon after he was appointed by Prime Minister D. S. Senanayake as Parliamentary Secretary to the Minister of Food and Co-operative Undertakings. In 1948, he was elected Vice President of the All Ceylon Muslim League. Elected in the 1952 general election, he was elected Deputy Speaker and the Deputy Chairman of Committees serving till 1956 and was elected Speaker following the 1956 general election, serving till 1959. In 1961, he was elected President of the All Ceylon Muslim League. He was appointed Member of the Order of the British Empire (MBE) in the 1949 New Year Honours.'",b''
Tikiri Banda Subasinghe,Male,30 March 1960 – 23 April 1960,Sri Lanka Freedom Party,Speaker of the Parliament,b'',b'',b'',b''
R. S. Pelpola,Male,5 August 1960 – 24 January 1964,Sri Lanka Freedom Party,Speaker of the Parliament,b'',b'',b'',b''
Hugh Fernando,Male,24 January 1964 – 17 December 1964,Sri Lanka Freedom Party,Speaker of the Parliament,b'',b'',b'',b''
Albert Peries,Male,5 April 1965 – 21 September 1967,United National Party,Speaker of the Parliament,b'',b'',b'',b''
Shirley Corea,Male,27 September 1967 – 25 March 1970,United National Party,Speaker of the Parliament,"b""Shirley Corea was born in Chilaw. His father was the illustrious Sri Lankan freedom fighter Charles Edgar Corea who was elected President of the Ceylon National Congress in 1924. He was the nephew of another famed Sri Lankan freedom fighter, Victor Corea who was a founder member of the Ceylon National Congress.  Shirley Corea grew up in this political world. His father and uncle founded the Chilaw Association and campaigned for independence from the British Raj. When Mahatma Gandhi, the 'Father of India' visited Ceylon in 1927, he travelled to Chilaw and was the Chief Guest at a banquet in a Corea home called 'Sigiriya.'  Shirley Corea met Mahatma Gandhi in 1927. He first won the parliamentary seat of Chilaw in 1952 and served as Parliamentary Secretary to the Minister of Trade, Commerce & Fisheries by Prime Minister Dudley Senanayake. In 1954 he was appointed as Minister of Trade, Commerce & Fisheries by Prime Minister John Kotelawala. In 1956 he lost it. in the House of Representatives in the Parliament of Ceylon. In both 1960 elections he didn't contest the seat. In 1965 he contested the Chilaw electorate was elected, and subsequently appointed as Deputy Speaker. Corea was elected Speaker on the death of Sir Albert Peries in 1967. Corea went on to enjoy a distinguished record as Speaker from 1967 - 1970. In 1970 election he lost. He was highly respected for being fair when it came to parliamentary debates in the chamber. During his tenure as Speaker, Shirley's Corea's official residence was the spacious 'Mumtaz Mahal' in Colombo.""","b'Shirley Corea was educated at Royal College Colombo where he excelled in school debates and he served as Secretary of the Royal College Social Service League - he was a founder member. He joined the Ceylon Law College and passed out as a Proctor of the Supreme Court of Ceylon in 1932. He practised in Chilaw and extended his much sought legal carrier in Kuliyapitiya, Puttalam, Anuradhapura, Mannar, Vavuniya and Maho; once he was retained in a case to defend the late Mr. Eddie Jayamanne husband of the famous Sri Lankan actress, Rukmani Devi and personalities from the world of Sri Lankan cinema in a Madras Court, in India. Corea was a well known trial lawyer on the island of Sri Lanka.'","b""Milton Weerasinghe, writing in the 'Island' newspaper in Sri Lanka, noted that 'his distinguished law career was disturbed in 1952 when the constituents of Chilaw made a request to him to contest the Chilaw Parliamentary Seat on the U.N.P. Ticket; Mr. Corea did win it and he was appointed the Parliamentary Secretary (Junior Minister) to late R.G. Senanayake, Minister of Trade Commerce and Fisheries, on Mr. Senanayakes resignation, Mr. Corea was appointed the Minister of Trade Commerce and Fisheries by late Sir John Kotelawala, Prime Minister of Ceylon. Mr. Corea was re-elected to Chilaw seat in the House of Representatives in 1965 and appointed the Deputy Speaker and the Chairman of Committees in the Dudley Senanayake government and was elected Speaker in 1967 after the death of Sir. Albert F Peries. '""",b''
